,sentence
1598,"According to your advertisement, we were pleased to learn that we can do some different activities in London, which included sightseeing by bus, a River trip to Greenwich, visiting the Science Museum and National Art Gallery and so on."
1599,"The point is, The London Fashion and Leisure show will be fantastic."
1600,"From these, we can see the latest fashion, imaginative make up and hairstyles."
1601,"What is more, they are the Leisure and sports wear, which we are keen on seeing it."
1602,"In your advertisement, you had written ""The show will be held in the Central Exhibition hall in London."
1603,It starts from 10 am to 7 pm on 14th March.
1604,I think it is a great opportunity because I am sure we will enjoy ourselves.
1605,"But I wonder if the timetable could change, which would be perfect."
1606,"As you know, all of us want to join the program, so if some students go to the Science Museum, they will miss the wonderful show."
1607,"For that reason, I suggest that you could change the activities."
1608,"In my opinion, we had better go to the show instead of the science museum and shopping."
1609,"Also we can go to the Science Museum on 15th March, which instead of having some free time in the afternoon."
1610,I am sorry to make you inconvenient.
1611,I hope it doesn't make cause some trouble if you accept my suggestion.
1612,I look forward to receiving your apply reply as soon as possible.
1613,"It was dangerous, but I knew I had to do it."
1614,"Last night, when I went into my house it was quite silent."
1615,I felt there might be something that has gone wrong.
1616,I found my parents sitting in an armchair.
1617,I could see sadness in my father's eyes.
1618,"My mother came over to me and said softly; ""My dear, your father's company has just gone bankrupt"", then she couldn't help crying."
1619,"When I heard this bad news, I was very depressed because father worked quite hard for his company."
1620,"My father always remembered his responsibility was giving to provide a good salary to his workers, which is the aim of his life."
1621,So I must find out a solution which can help to help my great father.
1622,"One day, I suddenly got a good idea."
1623,Why not go to the sock stock exchange? I said to myself.
1624,"Almost every day I stayed in there and researched the exchange decline-line, which gave me lots of information from there."
1625,"Finally, I decided to join in the dangerous game, which will meant losing everything or suddenly becoming a millionaire."
1626,"With luck, I was won by chance."
1627,"When I went home, I found my parents were standing at the door looking very cheerful."
1628,Surely it doesn't mean that they have learnt the exciting news? I said to myself again.
1629,"Much to my surprise, they told me in high voice that they never went bankrupt."
1630,They wanted to give me an opportunity to do something impressive by myself.
1631,"Now, they are both proud of me!"
1632,"I would like first, in the name of my whole class, to thank you for all you've done for us and for our trip to London."
1633,"We've just been told about your program and I must say that we all like it! What I am most looking forward to is the River trip to Greenwich; but I would also really like to visit the Science Museum as well as the National Gallery! This will be very enriching for us! You must wonder why I'm writing to you, them."
1634,"Well actually we've just received an advertisement for the London Fashion and Leisure Show, and the vast majority of the class would like to go and see it."
1635,This will take place in the Central Exhibition Hall on Tuesday 14th March.
1636,"We thought it would be a great experience for us since we quite don't have such opportunities in our everyday life! Moreover, the entrance admission is free for the students so that won't raise the cost of the trip."
1637,"I thought we should visit the Science Museum on Monday afternoon so that we could do the River trip on Tuesday morning just before going to the fashion show! Anyway, we were going shopping on Tuesday afternoon so that won't be a problem to my mind."
1638,I hope you will take account of our request.
1639,It was dangerous but I knew I had to do it.
1640,George was about to be lynched on account of his skin.
1641,Someone had to react.
1642,I had to react!
1643,"Otherwise I would have felt responsible for his death, for the rest of my life."
1644,"George was lying on the floor, surrounded by his own lake of blood."
1645,He had just been beaten by a group of white men.
1646,"And yet, he was too weak to resist the rats coming from everywhere and eating his face, his legs and his arms, waiting with great impatience for his death."
1647,He had been chained and no way could he escape from his fate without some help! The place where I was hidden was overlooking the house where he was kept prisoner.
1648,No one was guarding him.
1649,They were all celebrating their victory with a gorgeous dinner around the fire place.
1650,"I tiptoed as far as the house, carefully opened the door, and headed to George."
1651,"At the very moment when he says me, his eyes began to shine and I could feel that he had recovered some hope."
1652,"I delivered him and we were about to flee, taking back our dignity and freedom overwhelmed with joy, when we saw a white man, aiming his gun at us."
1653,"Firstly, I am being the representative of my class to thank you for organizing a good program in London, especially the visiting of the Science Museum and National Art Gallery."
1654,We know that it is a good chance for us to learn more different things and we can widen our knowledge in the Science Museum.
1655,"In addition, we can appreciate and enjoy the art in the National Art Gallery."
1656,"Unfortunately, I know that most of the students have already visited these two places before."
1657,So we decided to choose another program which have seen as an entertainment.
1658,It is the LONDON FASHION AND LEISURE SHOW.
1659,"The show is will be held at the Central Exhibition Hall, London."
1660,"The date is on Tuesday March 14, from 10."
1661,"The original sentence is blank, as the learner did not include any text for that position. The correction is also blank, as there is no text to correct in this case."
1662,"It shows the latest fashions, including leisure and sports wear."
1663,"In spite of these, there is also make up and hairstyles, which attract girls most."
1664,"Secondly, the show is a great opportunity because it holds for only 1 day, which is Tuesday March 14."
1665,"And, it is free for students."
1666,So I think it is worth visiting.
1667,"Personally, here is my some suggestions about how the program could be changed."
1668,We can join the program that you planned as usual and then we go to that fashion show on Tuesday.
1669,"Finally, the above information is my opinion and I hope you can accept it."
1670,Thanks for your kind attention.
1671,"How is the home of the future will be? Remain the same, as usual, or have a great difference?"
1672,"For me, I think people's homes may not be built on the ground."
1673,The homes will be built on in the sky - so as to save more land to build the other buildings.
1674,As the homes is built on in the sky.
1675,It will save a lot of electricity as solar energy is used.
1676,And there should be an electrical robotic servant in everyone's home.
1677,So there's no need for people to do the household work.
1678,There should be no beds at home because some pills are invented to make people not become sleepy.
1679,"If you're tired, the pill can give you vitamins, proteins and make you refreshed."
1680,...which I went to when I'd a week's holiday in London.</c></NS>
1681,"For electrical goods, there will be no kind of electrical product except computer."
1682,"People will do anything on the computer, including watching TV, listening to music, and chatting with people."
1683,As the computer is being as a multi-functional product.
1684,"On the other hand, there're some ways that remain the same."
1685,The toilet should remain the same as people need to use it daily and nothing can replace it.
1686,"Second, there should be friends and family members in the home to provide joyful."
1687,"Since friends and family members won't change, by anything."
1688,These are my imagination.
1689,I really wonder how the home of the future will be.
1690,It is a pleasure to write to you and we want to thank you for organizing a school trip to London.
1691,We have seen the program list and we all think it will be enjoyable.
1692,Especially to the science museum because we are all doing science in school.
1693,"Recently, some students have seen an advertisement about a fashion and leisure show in London."
1694,It will be on the 14th and we all want to go.
1695,"So, it would be greatful if you could give us this opportunity to watch the show."
1696,This is a great opportunity to learn something else because most of us have not been to this kind of show And it is free for students.
1697,It will be incredible if we have a chance to watch the show.
1698,So could you give us permission to go?
1699,We also can suggest how the originally program can be changed.
1700,We will have free time on Wednesday afternoon.
1701,So we can do shopping instead.
1702,"Then, we can go to the show during that period."
1703,...and I went to when I'd a week's holiday in London.</c></NS>
1704,We are all looking forward for you answer.
1705,"It was dangerous, but I knew I had to do it."
1706,Because there was a man who had had a serious car accident and I was walking past him.
1707,Nobody had noticed him because it happened at night and the car had actually crashed into the bushes.
1708,"I was thinking ""what should I do?"" I haven't got my mobile phone with me and I was half way between my school and home."
1709,At that time he was unconscious.
1710,I kept asking myself should I wake him up or try to use my dubious first aid skills to deal with him.
1711,"I was struggling because I knew if I didn't help him, he would die in a short time."
1712,"I decided to do something for this man, my."
1713,My first move was to check whether there was any solid or liquid which could have blocked his airways.
1714,And I checked his body condition.
1715,After that I turned on the car's lights in order to tell the passing cars.
1716,I ran back home for help.
1717,I phoned to the police And told them the whole story.
1718,The strange thing happened to me when I got back to that man.
1719,The car and the man were not there anymore.
1720,Where could they be? I was wondering.
1721,"Oh, sorry they were not on this road."
1722,They were in on the next road.
1723,"Dear Mrs Smith, Hello Maria."
1724,In this letter you will get all the information that you need.
1725,The hotel that group has been booked into is the Palace Hotel (In on the Victoria road)
1726,And you can take the Bus in front of the hotel to go to the College.
1727,It is four bus stops away.
1728,"Then walk straight for five minutes, you."
1729,You will see the college.
1730,"After the party, we will go to an entertainment area to have fun and we will eat in McDonald's."
1731,The rest you already knows.
1732,I suggest to wear shirts and jeans.
1733,"And the last three hours before you return, we can go to the ""Imax"" cinema to watch a 3-D film! Afterwards we will eat in the KFC."
1734,Then we all take you and the students to the airport.
1735,Madrid is a big city and have many interesting places.
1736,"But the best place for me is ""La Vaguada""."
1737,An entertainment and commercial building.
1738,"In there, students can have fun in the recreation areas, can watch a film and eat all kinds of food and go shopping."
1739,We can have fun well.
1740,And that's why I recommend this place to you.
1741,The building itself is a large building.
1742,It is very safe as there are policemen and cameras.
1743,The building seems to be very new but it is quite old.
1744,"People love this place and called it ""Madrid-two""."
1745,"Around it, there are many restaurants and shops as the building brings a lot of people."
1746,"Inside, there are fast-food restaurants and shops as well."
1747,And it is easy to come to.
1748,Just take the 83 bus or the sub-way.
1749,"In here, you can find everything that you want."
1750,Hope you like it.
1751,"Thank you for your letter, which arrived on the second."
1752,"I am very pleased to help to organize this Conference in our College, which will hold at the Conference Centre at Bromley College starting on 20th June for 3 days."
1753,Please find the information your required as follows:
1754,We have booked the hotel for the group.
1755,"Called ""Palace Hotel"", which is about 10 miles away from our College."
1756,The hotel will have a coach to pick the group up from the airport on the 19th of June and then take the group to the Conference and return to the hotel every day.
1757,Regarding to the end-of-conference party.
1758,We have planned a barbecue at 5 o'clock pm.
1759,"On our most idyllic playing field, which is over looking the endless countryside and farms."
1760,We can move to our student hall to have a disco dance until 10:00pm.
1761,"On the last day, we have arranged a small party in the hotel, then."
1762,Then we all set off to have a sightseeing tour of Bromley town center for about two hours before you leave for the airport.
1763,Bromley town center is the most beautiful shopping center in South East London.
1764,There are many historical buildings remain.
1765,I think the students will enjoy this sightseeing tour.
1766,"If any further discussion, please let me know."
1767,"We need light every day, not just at night time."
1768,We need lamp light in offices or and schools or some other places during the day time.
1769,How is the wonderful life after since the invention of electric light.
1770,Here we just talk about the light we invented apart from natural light.
1771,"When I was small, we lived in country yard."
1772,"I remember, we used to have oil lamps which used a cotton string dipping in the oil in the small bottle and made it burned the tip of the cotton string to give us light during the night time."
1773,"It was gave very little light on, and there were many things we couldn't do under the light from the oil lamps because the light range was very small."
1774,"There was no light outside our house, and no light on the road or field either."
1775,I was always very scared whenever or wherever I was.
1776,"Covered by dark, dark and dark."
1777,This scaring dark is still affecting my life now.
1778,I never stayed out after dark today except accompanying by my family.
1779,"What a biggest person on the earth, who invented the light, Einstein was."
1780,"He created another day after sunset, people."
1781,People use it to do anything they want to do.
1782,"We believe we can't live without light today, especially in the city life."
1783,We have a long time to spend on our activities after the Sun goes to bed.
1784,Which we definitely need light to keep on.
1785,"I dare to say, without light, our life will go into a dark, dark hell."
1786,I am writing to reply to your letter you wrote to me on 10 June.
1787,"Firstly, I would like to tell you that the group has been booked into the Palace Hotel, which locates beside the congress house in the center."
1788,You can make contact with Mrs Brackenbury using the number 06 8793888.
1789,"Secondly, the best way to get from the hotel to the conference is to take the bus, which has been specially organized by us."
1790,The bus leaves at 8:00 every morning and gets back to the hotel at 6 o'clock in the evening.
1791,"Of course there's also a number 8 bus in front of the hotel, which is also suitable, but it leaves only every half an hour."
1792,"The end-of-conference party, which happens in the evening on 20 June, is going to be held on the coast."
1793,"Beside the barbecue, there are some well-known student bands from our country are performing music through the whole night."
1794,"What's more is, that there's a Latin music band coming to make the party more colourful."
1795,"It plays from 10:00 to 11:00, while the students can enjoy it with dancing."
1796,The main events of the party will end up at about 12:30 in the night.
1797,"As you see, what to wear is just something casual."
1798,"Finally, in on the last afternoon, we could visit the museums and markets (we have a very interesting robot-market)."
1799,Basically it's a free time for the students to look round here by themselves.
1800,I hope your questions have been answered appropriatly.
1801,I'm looking forward to seeing you on the conference.
1802,"Now-a-day computers can be found in almost every corner, in offices, in shops."
1803,"Even in cars and washing machines, there're computer chips."
1804,What has computer affected to our life?
1805,"First of all, the efficiency of the society has been improved."
1806,"When shopping, we don't need to wait for the cashier to take every article's note by hand."
1807,"When booking an airline flight, we can just simply make a phone call to any agency, and get it done in one minute."
1808,"Secondly, instead of looking up tons of books to get the information what we need, we can very easily search for it from now on from the internet or on the local network."
1809,"It's often heard that someone, who has a special illness, gets an operation by a foreign institute which he finds via the internet."
1810,"Moreover, with computer networks, it can be possible that people work from home, making projects, controlling operations or having conferences."
1811,Lastly the way of communications has been changed.
1812,"Instead of the traditional telecommunication, we can talk by, mail or even see each other with the help of a computer network."
1813,Of course there're also some aspects in which the computer technology needs to be improved.
1814,"For example, reading on the screen is still not as comfortable as reading on papers."
1815,A very important and severe problem is the reliability and security.
1816,"Till now, to completely rely on computers is still somehow not safe enough."
1817,"In conclusion, computers have become a very essential necessity in our life, and it's still a young invention, which needs to be improved."
1818,Thank you for your letter.
1819,It will be pleasure to help you.
1820,The following are some information about the International student conference.
1821,The party will be take place in the Palace Hotel.
1822,The Hotel is very close to the Town Hall.
1823,"From Park Square, just go straight."
1824,You can see the sign of for the hotel.
1825,"This is a International student party, so I suggest you wear an traditional clothes."
1826,It looks nice and have good meaning.
1827,You can inform every all the students could make take some traditional food to the party.
1828,"After the meal, you can play some games and prepare a gift for the winner."
1829,At the end of the conference you can dance and singing together.
1830,There is my suggestions for this party.
1831,"If you still have some problem, you can call me."
1832,Report on the LUTON University building.
1833,I heard that a group of America students has just arrived in our town.
1834,I want to introduce an interesting building for them to visit.
1835,It is the main building of LUTON University at Park Square.
1836,There is a an academic building.
1837,It includes a laboratory.
1838,"II suit, academic rooms, a GYM Club, and a restaurant."
1839,There is a very big labry.
1840,You can find any information from it what you want.
1841,"At the rest of the time, you can go to the IT suit use to use the Internet."
1842,"If you feel hungry, you don't need to go out."
1843,"Just at the same building, you could find a restaurant."
1844,I recommend this building to visit.
1845,Because American students will know British students is how to study and different campus life.
1846,They can also talk with British students to communicate study experience.
1847,I think it will be interesting.
1848,Thanks for your last letter and I am sorry for not giving you enough information.
1849,"We have already booked a 4 stars hotel - the Palace Hotel, which is near the River Thames, in Walton-on-Thames."
1850,It is not far away from the station so we will go there by train.
1851,"The end-of-conference party will be held in an India restaurant, that is next to the hotel."
1852,It is supposed to be held during from 7 pm to 11 pm.
1853,Also there are some competitions and exciting games after dinner and a disco is also provided.
1854,"You can wear anything you like, we."
1855,We would like you to be just yourself and have fun.
1856,"As you know, our area is quite famous and lots of people come and visit it every year."
1857,"There are so many things to do, unfortunately."
1858,"Unfortunately, there are just 3 hours."
1859,I recommend the high street in the centre of our area because it is quite good for shopping.
1860,So you can buy gifts for your friends or families.
1861,"I hope I have given you enough information and if you still have some doubts, please do not hesitate to contact us."
1862,I look foreword to hearing from you.
1863,"Nowadays, our lives is becoming better and better."
1864,Lots of great inventions have been invented in order to make people live comfortably.
1865,"If you ask me which is the greatest invention of all, I will say that it is the television."
1866,"""Televisions is just an amazing invention."""
1867,"""My good friend said that"""
1868,I agree with her.
1869,"Firstly, televisions make us know more about the world without travelling it all."
1870,"If there were no televisions, we wouldn't know what the other countries were like, or even what language they speak, unless we went to that country."
1871,"Secondly, for in some ways, it can educate young children."
1872,"Many TV programmes are especially made for children, such as ""Learn Follow Me"" and ""Be Good to Others""."
1873,"Actually, they are quite good programs and helped me know what I should do generally or how to behave nicely when I was still a child."
1874,"The last but not least, it is a good kind of entertainments."
1875,"Maybe you will think that playing basketball, and going to cinemas and discos are much better than staying at home sitting in front of an object."
1876,"However, televisions can bring you the fun that other activities can't."
1877,"If sometimes I don't want to go out and I don't want to be lonely, that's easy, I just turn on the television and enjoy myself."
1878,"However, everything has its advantages and disadvantages."
1879,"Personally, I do think televisions is the most important invention."
1880,Thank you for your letter.
1881,I will try my best to answer the questions.
1882,"First of all, we have already booked the Five-Stars Hotel for your group."
1883,"It is a modern hotel, near our college, and it is also very convenient to come from the airport."
1884,You can take both by bus or taxis.
1885,"The member 101 bus starts from the airport, than you can get off at the ""city college"" stop."
1886,It would be a great chance to take part in the party for everyone.
1887,"This is just a relaxing party, just for so the members have a chance to relax and make friends."
1888,So I think you'd better to wear a dress.
1889,"Finally, about the three free hours, my personal preference is to go shopping."
1890,"Our city has got the biggest shopping centre in South England, there."
1891,There gathers so many shops.
1892,It is worth spending time and money on that.
1893,I look forword to seeing you!
1894,Nowadays people have become used to watching television's programs everyday.
1895,"The TV is so important that you can see it in every family, and it is an essential item for everyone."
1896,"First of all, in my opinion, TV has great educational functions, and it also makes the world become smaller."
1897,You can just sit at home then and you can know what is happening all over the world at that moment.
1898,I would rather watch the news on TV instead of reading a newspaper or listening to it on the radio because the news on TV are vivid.
1899,"Moreover, the TV is a great company for the people who live alone or feel alone."
1900,I would like to open the TV when I stay at home.
1901,"Someone are talking, laughing, crying on there, so join them."
1902,You will feel much better than just by yourself.
1903,Some TV programs are enjoyable!
1904,"However, TV also has some disadvantages."
1905,"You might just sit in front of the TV for hours learning nothing, or no longer talk with your family."
1906,I think this is the worst influence in the society.
1907,"In conclusion, the TV has both advantages and disadvantages, but on the whole the advantages are greater than the disadvantages."
1908,"So, but on the whole, TV still is a wonderful and important invention on the world."
1909,I was very pleased to receive your letter.
1910,It is my pleasure to help you with organizing the international student conference.
1911,"Firstly, for your information, the group has been booked into the Palace Hotel, which is located on the town centre."
1912,Students can take the airport bus to the hotel directly.
1913,"And the best way to get from there to the conference is to by coach, as there are about 35 internation students, and they are all strangers here."
1914,Therefore it is no good taking a bus.
1915,I will help you to book the coach.
1916,"Secondly, the end-of-conference party will be held at the college's main hall, at from 8:00 pm to 11:30 pm on 20th June."
1917,There will be various kinds of food and drinks provided.
1918,"Moreover, students can dance and enjoy different sorts of music, for instance, rock, jazz, pop, garage and so on."
1919,"Furthermore, I suggest you and the students wear pub-wears to it, as they are suitable for dancing."
1920,"Finally, on the last day, I suggest you could go to the market at in town during the 3-hour gap."
1921,It is a nice place to buy the British style gifts to for your family and friends.
1922,You could also enjoy the tea at the cafes nearby.
1923,I would be grateful to give any help if you need.
1924,I am looking forward to seeing you.
1925,To: Group leader of the American students.
1926,Subject: Interesting building to visit in Hong Kong.
1927,Visiting Po Lin Temple.
1928,"The purpose of this is to give information to the American students, describing Po Lin Temple, which is worth visited."
1929,"The original sentence is missing punctuation, but the correction is already provided as 1."
1930,Brief history of Po Lin Temple.
1931,It was founded in 1910.
1932,It is a traditional type of Chinese temple.
1933,"Because of the 2nd World War, it was re-built in 1960."
1934,"A big Buhha was built in 1997 just next to the temple, which is the largest outdoor Buhha in the world."
1935,"The location of Po Lin Temple is in Lotus Island, which is the second biggest island in Hong Kong."
1936,The original sentence is: 3
1937,Opening and Closing time:
1938,"Po Lin Temple is opened to the public from 8:00 am to 6:00 pm on Monday to Friday, and 9:00 am to 5:30 pm on Saturday and Sunday."
1939,"The sentence is error-free, so the correction is simply ""4""."
1940,You could take the MTR (HK underground) straight to Lotus Island or take the ferry to get there.
1941,"Then you need to take the bus, an A110, A111 or A112 to Po Lin Temple."
1942,It is quite convenient.
1943,All the buses and the MTR have air-conditioning.
1944,You could go sightseeing around the Temple and take photos.
1945,"Of course, you may get more knowledge about Hong Kong, as the temple has been here for nearly 100 years."
1946,"You mustn't miss the famous Big Buddha, or you will be sorry."
1947,The temple also provides free Chinese traditional-style meals for visitors.
1948,"The original sentence is incorrect, but it doesn't contain any errors. The correct sentence is:"
1949,"To sum up, I think Po Lin Temple is a nice place to visit, especially for Americans students."
1950,Easy to get there and free admission.
1951,"On the other hand, Hong Kong is known as a highly commercial city, but you could find something different in Po Lin Temple."
1952,I have received your letter this morning.
1953,I am sorry to hear that Richard is ill and is unable to attend the conference; I am glad that you are able to be the leader of the group.
1954,"I hope that these information are very useful to you, during your attempt of attending the conference."
1955,I have booked a hotel not far off from our school.
1956,The hotel is called the Epsom Down Hotel.
1957,Your plane will arrive in England by 9:00.
1958,"There will be a coach waiting for you, and the driver will be next to the information desk."
1959,You should arrive at the hotel by 11:00.
1960,You will than have an hour to check in and unpack all your luggage.
1961,"The conference will start on time at 12:30, so I would suggest you to leave the hotel by 12:00."
1962,"The best way to get to the conference is to follow along the college road and turn left toward the end, you."
1963,"You than keep going straight, you."
1964,You will eventually see the main entrance to the collage.
1965,"When you get into the college, you can just ask any boys in the college where to go from then."
1966,They all knows where the conference is and when.
1967,"At the end of the conference, we will have a party."
1968,The party is to let all the students get to know each other better.
1969,The party will be in the dance hall next to the conference room.
1970,"I will suggest them to wear formal clothing, as in tie, trousers and blazer."
1971,For the afternoon free time on the last day.
1972,There are a wide variety of choices in the things that they can do.
1973,"They can play tennis, do athletics, swimming."
1974,"and many other sports events in our school, if they want to."
1975,Or they can also visit the Epsom Town.
1976,"There are shops which sell clothes, food, and books."
1977,"They can decide what they want to do, it's."
1978,It's entirely up to them.
1979,I am looking forward to seeing you and hope you have a safe flight over to England.
1980,"This report is based on an interesting building, where you can take for your students to visit."
1981,"This building is situated in Taipei, the capital."
1982,The building is called the Chiang Kei-shek Memorial Hall.
1983,"Nearly everyone knows where this building is, so if you have a chance, just ask the local people in Taipei about this building."
1984,The memorial Hall is surrounded by large playgrounds.
1985,"As you go into the main Hall, you will see a huge statue of Chiang Kei-shek."
1986,This is because the building is the remembrance of how well Chiang did in History.
1987,The statue is about 20 feet high.
1988,Next to the statue is protected by the guards.
1989,The guards will change every four hours.
1990,"Apart from the main Hall, there are also lots of other galleries."
1991,"In these galleries there are Historical paintings, and antique furniture which Chiang used."
1992,"These treasures are very old, even older than the history of America."
1993,All these treasures were brought over to Taiwan by Chiang during the defeat in China.
1994,They are all been well looked after.
1995,"As well as all the treasures, statues and historical paintings."
1996,There are also there restaurants and modern galleries.
1997,"When you are tired after looking around you might want to buy drinks or something to eat, or if you are fed up with historical thing, you might as well just pop into the modern gallery to see things which are more modern."
1998,"Finally, if you went to visit this building I will recommend you to stay at a hotel not far from the memorial hall called the Hyatt Hotel."
1999,It only takes about five minutes if you walk.
2000,I hope you will all have a great time in Taiwan and I hope you will enjoy the building.
2001,"My name is Juniper, ."
2002,I am helping to organise the conference in the college.
2003,I received your letter the other day and I am writing to answer your questions.
2004,"The group has been booked into the Palace Hotel, which is not very far from the place where the conference will be held."
2005,You can take the No.
2006,"41 bus from the hotel to the conference, it."
2007,It only takes ten minutes approximately.
2008,"As for the end-of-conference party, it will be on the morning of the last day starting at 9:00."
2009,All the students and staffs will join together in the hall.
2010,They can play games and talk about their personal experiences.
2011,The main aim of it is to deepen the friendship among all these pupils coming from all over the world.
2012,So it would be fine if you wore casual clothes and looked smart.
2013,I have made arrangements for the afternoon on the last day for you.
2014,If you are free I will show you around.
2015,You can visit our newly-built science lab as well.
2016,I'm sure you would acquire a lot of knowledge there.
2017,I'm looking forward to meeting you.
2018,You asked me for an interesting building to visit.
2019,"In my opinion, I'll recommend the British Museum."
2020,One of the reasons is you can learn almost everything about British history there.
2021,"The museum looks very old, as like some other buildings in London, but it is very modern inside."
2022,"After going through the enormous main door, you can see a huge white round building, which is a library."
2023,A lot of famous people have been to this library before!
2024,"The British Hall is on the first floor, not far from the library."
2025,It shows a large number of valuable things.
2026,Almost each one tells you a story or gives you a picture about British history.
2027,I'm sure all the students will gain a wonderful lesson!
2028,"Apart from the national history, there are more contents about the past of the world."
2029,"You can go to many sections such as the Asia Hall, Egypt Hall, Europe Hall, and so on."
2030,Countless fascinating things will definitely take you the whole day to appreciate.
2031,"After a visit to the British Museum, you will be certainly able to put your history textbook away!"
2032,"Also you don't have to pay any money for it, and the transport is extremely convenient, therefore the British Museum is your best choice."
2033,Don't be hesitant any more!
